text,zone_id,parameter,direction,intensity,source
more,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,moderate,template_train
slightly warm in the mud room again,zone_common,temperature,decrease,mild,template_train
"can you do something about the front room, it's dry",zone_living,humidity,increase,moderate,template_train
"please fix the bathroom, it's too stuffy",zone_bathroom,airflow,increase,moderate,template_train
we're sitting in the bathroom and it's like an icebox,zone_bathroom,temperature,increase,strong,template_train
"please fix the kitchen, it's dry",zone_kitchen,humidity,increase,moderate,template_train
bed room is way too dry,zone_bedroom,humidity,increase,strong,template_train
a bit more please,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,mild,template_train
it's been humid in the guest room all day,zone_bedroom,humidity,decrease,moderate,template_train
"can you do something about the kitchen, it's not enough air moving",zone_kitchen,airflow,increase,moderate,template_train
work room is dry,zone_office,humidity,increase,moderate,template_train
it's been too stuffy in the study room all day,zone_office,airflow,increase,moderate,template_train
washroom is slightly warm,zone_bathroom,temperature,decrease,mild,template_train
we're sitting in the bedroom and it's completely airless,zone_bedroom,airflow,increase,strong,template_train
it's slightly stale in here,UNSPECIFIED,airflow,increase,mild,template_train
slightly dry in the drawing hall again,zone_living,humidity,increase,mild,template_train
"please fix the kitchen, it's way too cold",zone_kitchen,temperature,increase,strong,template_train
it is way too hot in the game room,zone_living,temperature,decrease,strong,template_train
mud room is sweltering,zone_common,temperature,decrease,strong,template_train
it's a touch stuffy and warm again in here,UNSPECIFIED,temperature,decrease,mild,template_train
honestly it's just slightly breezy,UNSPECIFIED,airflow,decrease,mild,template_train
we're sitting in the bath and it's suffocating,zone_bathroom,airflow,increase,strong,template_train
it's dripping with humidity again in here,UNSPECIFIED,humidity,decrease,strong,template_train
it's been too cold in the kitchen all day,zone_kitchen,temperature,increase,moderate,template_train
"please fix the kitchen, it's slightly breezy",zone_kitchen,airflow,decrease,mild,template_train
still so dry my throat hurts,UNSPECIFIED,humidity,increase,strong,template_train
its way too hot in here,UNSPECIFIED,temperature,decrease,strong,template_train
just a touch,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,mild,template_train
it's dripping with humidity in here,UNSPECIFIED,humidity,decrease,strong,template_train
"please fix the master bedroom, it's quite cold",zone_bedroom,temperature,increase,moderate,template_train
getting completely airless,UNSPECIFIED,airflow,increase,strong,template_train
we're sitting in the kitchen and it's sticky,zone_kitchen,humidity,decrease,moderate,template_train
honestly it's just colder than I'd like,UNSPECIFIED,temperature,increase,moderate,template_train
a bit chilly in the study room again,zone_office,temperature,increase,mild,template_train
the my son's room is boiling,zone_bedroom,temperature,decrease,strong,template_train
it's drafty in here,UNSPECIFIED,airflow,decrease,moderate,template_train
"please fix the bedroom, it's a little clammy",zone_bedroom,humidity,decrease,mild,template_train
still slightly dry,UNSPECIFIED,humidity,increase,mild,template_train
it is so dry my throat hurts in the sitting room,zone_living,humidity,increase,strong,template_train
we're sitting in the den and it's way too cold,zone_living,temperature,increase,strong,template_train
the work room is too stuffy,zone_office,airflow,increase,moderate,template_train
"please fix the study, it's like an icebox",zone_office,temperature,increase,strong,template_train
"please fix the mud room, it's suffocating",zone_common,airflow,increase,strong,template_train
still warmer than I'd like,UNSPECIFIED,temperature,decrease,moderate,template_train
it is slightly dry in the study room,zone_office,humidity,increase,mild,template_train
still too stuffy,UNSPECIFIED,airflow,increase,moderate,template_train
"please fix the master bedroom, it's slightly breezy",zone_bedroom,airflow,decrease,mild,template_train
it is like a wind tunnel in the study room,zone_office,airflow,decrease,strong,template_train
muggy in the dining area again,zone_common,humidity,decrease,moderate,template_train
it is slightly stale in the dining area,zone_common,airflow,increase,mild,template_train
honestly it's just unbearably muggy,UNSPECIFIED,humidity,decrease,strong,template_train
it is a bit humid in the kitchen,zone_kitchen,humidity,decrease,mild,template_train
washroom is slightly breezy,zone_bathroom,airflow,decrease,mild,template_train
"can you do something about the drawing hall, its boiling",zone_living,temperature,decrease,strong,template_train
"please fix the guest room, it's unbearably muggy",zone_bedroom,humidity,decrease,strong,template_train
it is boiling in the hallway,zone_common,temperature,decrease,strong,template_train
slightly warm in the bath again,zone_bathroom,temperature,decrease,mild,template_train
study is quite hot,zone_office,temperature,decrease,moderate,template_train
it is a bit chilly in the study,zone_office,temperature,increase,mild,template_train
"please fix the bath, it's a little clammy",zone_bathroom,humidity,decrease,mild,template_train
"please fix the my son's room, it's too hot",zone_bedroom,temperature,decrease,moderate,template_train
still a little too warm,UNSPECIFIED,temperature,decrease,mild,template_train
it is a bit chilly in the drawing hall,zone_living,temperature,increase,mild,template_train
it's been airless in the lobby all day,zone_common,airflow,increase,moderate,template_train
"can you do something about the study, it's slightly dry",zone_office,humidity,increase,mild,template_train
still slightly stale,UNSPECIFIED,airflow,increase,mild,template_train
"can you do something about the my son's room, its way too dry",zone_bedroom,humidity,increase,strong,template_train
getting a little clammy,UNSPECIFIED,humidity,decrease,mild,template_train
quite cold in the kitchen again,zone_kitchen,temperature,increase,moderate,template_train
it is slightly dry in the study,zone_office,humidity,increase,mild,template_train
a lot more,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,strong,template_train
we're sitting in teh bedroom and it's a little clammy,zone_bedroom,humidity,decrease,mild,template_train
"can you do something about teh kitchen, it's drafty",zone_kitchen,airflow,decrease,moderate,template_train
it's a little too warm,UNSPECIFIED,temperature,decrease,mild,template_train
"please fix the kitchen, it's unbearably muggy",zone_kitchen,humidity,decrease,strong,template_train
it's slightly dry again in here,UNSPECIFIED,humidity,increase,mild,template_train
we're sitting in the front room and it's really dry,zone_living,humidity,increase,moderate,template_train
its a little clammy again in here,UNSPECIFIED,humidity,decrease,mild,template_train
it's way too hot in here,UNSPECIFIED,temperature,decrease,strong,template_train
getting suffocating,UNSPECIFIED,airflow,increase,strong,template_train
still muggy,UNSPECIFIED,humidity,decrease,moderate,template_train
it's airless again in here,UNSPECIFIED,airflow,increase,moderate,template_train
it is muggy in the drawing hall,zone_living,humidity,decrease,moderate,template_train
unbearably muggy in the study again,zone_office,humidity,decrease,strong,template_train
"can you do something about the washroom, it's too drafty",zone_bathroom,airflow,decrease,moderate,template_train
"can you do something about the dining room, it's humid",zone_common,humidity,decrease,moderate,template_train
getting really dry,UNSPECIFIED,humidity,increase,moderate,template_train
it's really dry again in here,UNSPECIFIED,humidity,increase,moderate,template_train
getting dry,UNSPECIFIED,humidity,increase,moderate,template_train
honestly it's just a touch stuffy and warm,UNSPECIFIED,temperature,decrease,mild,template_train
getting way too dry,UNSPECIFIED,humidity,increase,strong,template_train
it's humid,UNSPECIFIED,humidity,decrease,moderate,template_train
honestly it's just slightly dry,UNSPECIFIED,humidity,increase,mild,template_train
still not enough,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,moderate,template_train
dripping with humidity in the hallway again,zone_common,humidity,decrease,strong,template_train
we're sitting in the bath and it's a bit chilly,zone_bathroom,temperature,increase,mild,template_train
getting slightly stale,UNSPECIFIED,airflow,increase,mild,template_train
study is a little clammy,zone_office,humidity,decrease,mild,template_train
it is swampy in the kitchen,zone_kitchen,humidity,decrease,strong,template_train
my son's room is a bit chilly,zone_bedroom,temperature,increase,mild,template_train
it's been quite hot in the lobby all day,zone_common,temperature,decrease,moderate,template_train
slightly stale in the kitchen again,zone_kitchen,airflow,increase,mild,template_train
it's quite cold again in here,UNSPECIFIED,temperature,increase,moderate,template_train
it's been way too cold in the sitting room all day,zone_living,temperature,increase,strong,template_train
getting a touch cold,UNSPECIFIED,temperature,increase,mild,template_train
it's slightly dry in here,UNSPECIFIED,humidity,increase,mild,template_train
still slightly warm,UNSPECIFIED,temperature,decrease,mild,template_train
dripping with humidity in the guest room again,zone_bedroom,humidity,decrease,strong,template_train
the my room is a bit chilly,zone_bedroom,temperature,increase,mild,template_train
the kitchen is slightly dry,zone_kitchen,humidity,increase,mild,template_train
it's been a little cold in the bedroom all day,zone_bedroom,temperature,increase,mild,template_train
the dining room is quite cold,zone_common,temperature,increase,moderate,template_train
it is like an icebox in the kitchen,zone_kitchen,temperature,increase,strong,template_train
it's a little clammy again in here,UNSPECIFIED,humidity,decrease,mild,template_train
colder than I'd like in the hallway again,zone_common,temperature,increase,moderate,template_train
"please fix the kitchen, it's like a wind tunnel",zone_kitchen,airflow,decrease,strong,template_train
it is too drafty in the kitchen,zone_kitchen,airflow,decrease,moderate,template_train
the mud room is way too cold,zone_common,temperature,increase,strong,template_train
it's way too cold in here,UNSPECIFIED,temperature,increase,strong,template_train
now it's a little clammy,UNSPECIFIED,humidity,decrease,mild,template_train
"can you do something about the den, it's blasting air everywhere",zone_living,airflow,decrease,strong,template_train
"can you do something about the kitchen, it's slightly breezy",zone_kitchen,airflow,decrease,mild,template_train
it's way too dry in here,UNSPECIFIED,humidity,increase,strong,template_train
honestly it's just quite hot,UNSPECIFIED,temperature,decrease,moderate,template_train
it's too hot again in here,UNSPECIFIED,temperature,decrease,moderate,template_train
still slightly breezy,UNSPECIFIED,airflow,decrease,mild,template_train
"please fix the bathroom, it's dripping with humidity",zone_bathroom,humidity,decrease,strong,template_train
it's been a touch cold in the front room all day,zone_living,temperature,increase,mild,template_train
it's absolutely freezing again in here,UNSPECIFIED,temperature,increase,strong,template_train
it is suffocating in the guest room,zone_bedroom,airflow,increase,strong,template_train
it's been quite hot in the bath all day,zone_bathroom,temperature,decrease,moderate,template_train
it is colder than I'd like in the sitting room,zone_living,temperature,increase,moderate,template_train
it's slightly breezy in here,UNSPECIFIED,airflow,decrease,mild,template_train
"please fix the study, it's slightly stale",zone_office,airflow,increase,mild,template_train
"please fix the drawing hall, it's slightly breezy",zone_living,airflow,decrease,mild,template_train
the kitchen is slightly breezy,zone_kitchen,airflow,decrease,mild,template_train
it is slightly dry in the dining room,zone_common,humidity,increase,mild,template_train
too drafty in the den again,zone_living,airflow,decrease,moderate,template_train
it's been so dry my throat hurts in the study room all day,zone_office,humidity,increase,strong,template_train
it's been a bit chilly in the den all day,zone_living,temperature,increase,mild,template_train
it's so dry my throat hurts,UNSPECIFIED,humidity,increase,strong,template_train
honestly it's just so dry my throat hurts,UNSPECIFIED,humidity,increase,strong,template_train
"can you do something about the guest room, it's quite cold",zone_bedroom,temperature,increase,moderate,template_train
it's so dry my throat hurts in here,UNSPECIFIED,humidity,increase,strong,template_train
we're sitting in the my son's room and it's way too dry,zone_bedroom,humidity,increase,strong,template_train
"please fix the game room, it's a little too warm",zone_living,temperature,decrease,mild,template_train
"can you do something about the study, it's completely airless",zone_office,airflow,increase,strong,template_train
we're sitting in the study and it's slightly breezy,zone_office,airflow,decrease,mild,template_train
it is slightly dry in teh game room,zone_living,humidity,increase,mild,template_train
"can you do something about the study room, it's windy",zone_office,airflow,decrease,moderate,template_train
a little too warm in the kitchen again,zone_kitchen,temperature,decrease,mild,template_train
it's really dry in here,UNSPECIFIED,humidity,increase,moderate,template_train
"please fix the study, it's too drafty",zone_office,airflow,decrease,moderate,template_train
it is quite cold in the kitchen,zone_kitchen,temperature,increase,moderate,template_train
muggy in the bathroom again,zone_bathroom,humidity,decrease,moderate,template_train
it's been like a wind tunnel in the dining room all day,zone_common,airflow,decrease,strong,template_train
freezing in the bed room again,zone_bedroom,temperature,increase,strong,template_train
it's slightly breezy again in here,UNSPECIFIED,airflow,decrease,mild,template_train
now it's a little too warm,UNSPECIFIED,temperature,decrease,mild,template_train
still a bit humid,UNSPECIFIED,humidity,decrease,mild,template_train
it is windy in the lobby,zone_common,airflow,decrease,moderate,template_train
"can you do something about the guest room, it's unbearably muggy",zone_bedroom,humidity,decrease,strong,template_train
"please fix the sitting room, its quite cold",zone_living,temperature,increase,moderate,template_train
it's unbearably muggy again in here,UNSPECIFIED,humidity,decrease,strong,template_train
"please fix the kitchen, it's humid",zone_kitchen,humidity,decrease,moderate,template_train
"please fix the front room, it's completely airless",zone_living,airflow,increase,strong,template_train
the living room is suffocating,zone_living,airflow,increase,strong,template_train
we're sitting in the kitchen and it's too cold,zone_kitchen,temperature,increase,moderate,template_train
the bathroom is colder than I'd like,zone_bathroom,temperature,increase,moderate,template_train
the drawing hall is too hot,zone_living,temperature,decrease,moderate,template_train
getting too hot,UNSPECIFIED,temperature,decrease,moderate,template_train
honestly it's just dry,UNSPECIFIED,humidity,increase,moderate,template_train
it's been so dry my throat hurts in the dining room all day,zone_common,humidity,increase,strong,template_train
mud room is slightly stale,zone_common,airflow,increase,mild,template_train
suffocating in the work room again,zone_office,airflow,increase,strong,template_train
it's completely airless in here,UNSPECIFIED,airflow,increase,strong,template_train
"can you do something about the sitting room, it's unbearably muggy",zone_living,humidity,decrease,strong,template_train
"please fix the bed room, it's slightly breezy",zone_bedroom,airflow,decrease,mild,template_train
a touch stuffy and warm in the mud room again,zone_common,temperature,decrease,mild,template_train
"can you do something about the lobby, it's like a wind tunnel",zone_common,airflow,decrease,strong,template_train
it is quite hot in the washroom,zone_bathroom,temperature,decrease,moderate,template_train
it is slightly stale in the bath,zone_bathroom,airflow,increase,mild,template_train
we're sitting in the bathroom and it's a bit humid,zone_bathroom,humidity,decrease,mild,template_train
it's sticky again in here,UNSPECIFIED,humidity,decrease,moderate,template_train
the dining area is slightly stale,zone_common,airflow,increase,mild,template_train
it's too hot,UNSPECIFIED,temperature,decrease,moderate,template_train
it is way too hot in the lounge,zone_living,temperature,decrease,strong,template_train
lobby is slightly stale,zone_common,airflow,increase,mild,template_train
it's been unbearably muggy in the kitchen all day,zone_kitchen,humidity,decrease,strong,template_train
"please fix the study, its suffocating",zone_office,airflow,increase,strong,template_train
still dry,UNSPECIFIED,humidity,increase,moderate,template_train
game room is absolutely freezing,zone_living,temperature,increase,strong,template_train
getting dripping with humidity,UNSPECIFIED,humidity,decrease,strong,template_train
a bit humid in the mud room again,zone_common,humidity,decrease,mild,template_train
it's sweltering,UNSPECIFIED,temperature,decrease,strong,template_train
we're sitting in the bathroom and it's a little too warm,zone_bathroom,temperature,decrease,mild,template_train
it's been completely airless in the hallway all day,zone_common,airflow,increase,strong,template_train
it's completely airless,UNSPECIFIED,airflow,increase,strong,template_train
we're sitting in the guest room and it's unbearably muggy,zone_bedroom,humidity,decrease,strong,template_train
the study is way too dry,zone_office,humidity,increase,strong,template_train
it is a little cold in teh study room,zone_office,temperature,increase,mild,template_train
front room is dripping with humidity,zone_living,humidity,decrease,strong,template_train
now it's too drafty,UNSPECIFIED,airflow,decrease,moderate,template_train
kitchen is quite hot,zone_kitchen,temperature,decrease,moderate,template_train
bed room is a little clammy,zone_bedroom,humidity,decrease,mild,template_train
a little clammy in the work room again,zone_office,humidity,decrease,mild,template_train
it's like an icebox again in here,UNSPECIFIED,temperature,increase,strong,template_train
"can you do something about the master bedroom, it's boiling",zone_bedroom,temperature,decrease,strong,template_train
the kitchen is boiling,zone_kitchen,temperature,decrease,strong,template_train
it's been completely airless in the living room all day,zone_living,airflow,increase,strong,template_train
now it's dry,UNSPECIFIED,humidity,increase,moderate,template_train
it's way too hot again in here,UNSPECIFIED,temperature,decrease,strong,template_train
slightly breezy in the my room again,zone_bedroom,airflow,decrease,mild,template_train
"can you do something about the kitchen, it's like an icebox",zone_kitchen,temperature,increase,strong,template_train
getting a little too warm,UNSPECIFIED,temperature,decrease,mild,template_train
it is humid in the kitchen,zone_kitchen,humidity,decrease,moderate,template_train
it is way too dry in the bedroom,zone_bedroom,humidity,increase,strong,template_train
we're sitting in the bath and it's warmer than I'd like,zone_bathroom,temperature,decrease,moderate,template_train
we're sitting in the bedroom and it's dry,zone_bedroom,humidity,increase,moderate,template_train
"please fix the bathroom, it's suffocating",zone_bathroom,airflow,increase,strong,template_train
now it's a bit humid,UNSPECIFIED,humidity,decrease,mild,template_train
it is so dry my throat hurts in the kitchen,zone_kitchen,humidity,increase,strong,template_train
it is completely airless in the dining area,zone_common,airflow,increase,strong,template_train
it's drafty,UNSPECIFIED,airflow,decrease,moderate,template_train
the study is quite cold,zone_office,temperature,increase,moderate,template_train
we're sitting in teh bedroom and it's slightly breezy,zone_bedroom,airflow,decrease,mild,template_train
it's too cold in here,UNSPECIFIED,temperature,increase,moderate,template_train
"can you do something about the kitchen, it's unbearably muggy",zone_kitchen,humidity,decrease,strong,template_train
it's airless in here,UNSPECIFIED,airflow,increase,moderate,template_train
"please fix the bathroom, it's really dry",zone_bathroom,humidity,increase,moderate,template_train
getting quite hot,UNSPECIFIED,temperature,decrease,moderate,template_train
the front room is unbearably muggy,zone_living,humidity,decrease,strong,template_train
we're sitting in the washroom and it's unbearably muggy,zone_bathroom,humidity,decrease,strong,template_train
we're sitting in the dining room and it's swampy,zone_common,humidity,decrease,strong,template_train
it's been a bit chilly in the washroom all day,zone_bathroom,temperature,increase,mild,template_train
honestly it's just too drafty,UNSPECIFIED,airflow,decrease,moderate,template_train
a touch stuffy and warm in the sitting room again,zone_living,temperature,decrease,mild,template_train
it is a bit humid in the bath,zone_bathroom,humidity,decrease,mild,template_train
swampy in the work room again,zone_office,humidity,decrease,strong,template_train
front room is a touch stuffy and warm,zone_living,temperature,decrease,mild,template_train
it's been a bit chilly in the study room all day,zone_office,temperature,increase,mild,template_train
it is boiling in the dining area,zone_common,temperature,decrease,strong,template_train
hallway is quite cold,zone_common,temperature,increase,moderate,template_train
it's slightly stale,UNSPECIFIED,airflow,increase,mild,template_train
"please fix the kitchen, it's suffocating",zone_kitchen,airflow,increase,strong,template_train
the front room is blasting air everywhere,zone_living,airflow,decrease,strong,template_train
honestly it's just a little clammy,UNSPECIFIED,humidity,decrease,mild,template_train
we're sitting in the drawing hall and it's a touch stuffy and warm,zone_living,temperature,decrease,mild,template_train
a touch stuffy and warm in the dining area again,zone_common,temperature,decrease,mild,template_train
now it's unbearably hot,UNSPECIFIED,temperature,decrease,strong,template_train
really dry in the bathroom again,zone_bathroom,humidity,increase,moderate,template_train
it is so dry my throat hurts in the front room,zone_living,humidity,increase,strong,template_train
it's windy,UNSPECIFIED,airflow,decrease,moderate,template_train
"can you do something about the study, its too hot",zone_office,temperature,decrease,moderate,template_train
it's been windy in the hallway all day,zone_common,airflow,decrease,moderate,template_train
it's way too dry,UNSPECIFIED,humidity,increase,strong,template_train
the mud room is unbearably muggy,zone_common,humidity,decrease,strong,template_train
"please fix the front room, it's a touch cold",zone_living,temperature,increase,mild,template_train
"please fix the kitchen, it's completely airless",zone_kitchen,airflow,increase,strong,template_train
honestly it's just slightly stale,UNSPECIFIED,airflow,increase,mild,template_train
we're sitting in the work room and it's completely airless,zone_office,airflow,increase,strong,template_train
it's been quite hot in the guest room all day,zone_bedroom,temperature,decrease,moderate,template_train
it's swampy again in here,UNSPECIFIED,humidity,decrease,strong,template_train
we're sitting in the study and it's a little cold,zone_office,temperature,increase,mild,template_train
the study room is slightly breezy,zone_office,airflow,decrease,mild,template_train
"can you do something about the kitchen, it's a little clammy",zone_kitchen,humidity,decrease,mild,template_train
"can you do something about the bathroom, it's too drafty",zone_bathroom,airflow,decrease,moderate,template_train
it's been a bit chilly in the kitchen all day,zone_kitchen,temperature,increase,mild,template_train
really dry in the bedroom again,zone_bedroom,humidity,increase,moderate,template_train
"can you do something about the kitchen, it's blasting air everywhere",zone_kitchen,airflow,decrease,strong,template_train
it is dry in the kitchen,zone_kitchen,humidity,increase,moderate,template_train
honestly it's just airless,UNSPECIFIED,airflow,increase,moderate,template_train
the kitchen is a touch cold,zone_kitchen,temperature,increase,mild,template_train
"please fix the living room, it's blasting air everywhere",zone_living,airflow,decrease,strong,template_train
"can you do something about the bed room, it's a touch stuffy and warm",zone_bedroom,temperature,decrease,mild,template_train
teh study room is slightly dry,zone_office,humidity,increase,mild,template_train
it is drafty in the bedroom,zone_bedroom,airflow,decrease,moderate,template_train
"can you do something about teh mud room, it's slightly breezy",zone_common,airflow,decrease,mild,template_train
it's too stuffy in here,UNSPECIFIED,airflow,increase,moderate,template_train
it's a bit humid again in here,UNSPECIFIED,humidity,decrease,mild,template_train
"please fix the bathroom, it's a touch stuffy and warm",zone_bathroom,temperature,decrease,mild,template_train
it is dry in the kitchn,zone_kitchen,humidity,increase,moderate,template_train
we're sitting in the front room and it's boiling,zone_living,temperature,decrease,strong,template_train
now it's blasting air everywhere,UNSPECIFIED,airflow,decrease,strong,template_train
honestly it's just sweltering,UNSPECIFIED,temperature,decrease,strong,template_train
it's been a touch stuffy and warm in the kitchn all day,zone_kitchen,temperature,decrease,mild,template_train
"can you do something about the work room, it's a touch cold",zone_office,temperature,increase,mild,template_train
humid in the study room again,zone_office,humidity,decrease,moderate,template_train
getting way too hot,UNSPECIFIED,temperature,decrease,strong,template_train
"can you do something about the work room, it's unbearably hot",zone_office,temperature,decrease,strong,template_train
it's been absolutely freezing in the bathroom all day,zone_bathroom,temperature,increase,strong,template_train
muggy in the lobby again,zone_common,humidity,decrease,moderate,template_train
it's been dripping with humidity in the kitchen all day,zone_kitchen,humidity,decrease,strong,template_train
a little too warm in the work room again,zone_office,temperature,decrease,mild,template_train
"can you do something about the bathroom, its really dry",zone_bathroom,humidity,increase,moderate,template_train
the my room is so dry my throat hurts,zone_bedroom,humidity,increase,strong,template_train
we're sitting in the kitchen and it's way too cold,zone_kitchen,temperature,increase,strong,template_train
the kitchen is sticky,zone_kitchen,humidity,decrease,moderate,template_train
study is like a wind tunnel,zone_office,airflow,decrease,strong,template_train
dining area is unbearably hot,zone_common,temperature,decrease,strong,template_train
the washroom is absolutely freezing,zone_bathroom,temperature,increase,strong,template_train
it is dripping with humidity in the kitchn,zone_kitchen,humidity,decrease,strong,template_train
"please fix the lobby, it's slightly stale",zone_common,airflow,increase,mild,template_train
teh mud room is a little clammy,zone_common,humidity,decrease,mild,template_train
like a wind tunnel in the kitchen again,zone_kitchen,airflow,decrease,strong,template_train
it's a little cold again in here,UNSPECIFIED,temperature,increase,mild,template_train
it's been airless in the dining room all day,zone_common,airflow,increase,moderate,template_train
too cold in the dining room again,zone_common,temperature,increase,moderate,template_train
"please fix the mud room, it's muggy",zone_common,humidity,decrease,moderate,template_train
"please fix the study, it's quite cold",zone_office,temperature,increase,moderate,template_train
now it's a touch stuffy and warm,UNSPECIFIED,temperature,decrease,mild,template_train
"please fix the game room, it's slightly dry",zone_living,humidity,increase,mild,template_train
we're sitting in the my room and it's slightly breezy,zone_bedroom,airflow,decrease,mild,template_train
we're sitting in the guest room and it's muggy,zone_bedroom,humidity,decrease,moderate,template_train
"please fix the study, it's a little clammy",zone_office,humidity,decrease,mild,template_train
it is slightly breezy in the study room,zone_office,airflow,decrease,mild,template_train
still a little clammy,UNSPECIFIED,humidity,decrease,mild,template_train
still not enough air moving,UNSPECIFIED,airflow,increase,moderate,template_train
it is too hot in the washroom,zone_bathroom,temperature,decrease,moderate,template_train
still airless,UNSPECIFIED,airflow,increase,moderate,template_train
"please fix the work room, it's really dry",zone_office,humidity,increase,moderate,template_train
the bathroom is slightly warm,zone_bathroom,temperature,decrease,mild,template_train
the master bedroom is completely airless,zone_bedroom,airflow,increase,strong,template_train
it's been unbearably hot in the bedroom all day,zone_bedroom,temperature,decrease,strong,template_train
it's been unbearably muggy in the master bedroom all day,zone_bedroom,humidity,decrease,strong,template_train
it is slightly dry in the kitchen,zone_kitchen,humidity,increase,mild,template_train
it is muggy in the study room,zone_office,humidity,decrease,moderate,template_train
slightly stale in the front room again,zone_living,airflow,increase,mild,template_train
"please fix the kitchen, it's blasting air everywhere",zone_kitchen,airflow,decrease,strong,template_train
it's quite hot in here,UNSPECIFIED,temperature,decrease,moderate,template_train
still a touch cold,UNSPECIFIED,temperature,increase,mild,template_train
it's been completely airless in the den all day,zone_living,airflow,increase,strong,template_train
"please fix the my son's room, it's muggy",zone_bedroom,humidity,decrease,moderate,template_train
it's not enough air moving in here,UNSPECIFIED,airflow,increase,moderate,template_train
now it's colder than I'd like,UNSPECIFIED,temperature,increase,moderate,template_train
we're sitting in the mud room and it's suffocating,zone_common,airflow,increase,strong,template_train
the work room is slightly warm,zone_office,temperature,decrease,mild,template_train
now it's like a wind tunnel,UNSPECIFIED,airflow,decrease,strong,template_train
we're sitting in the lounge and it's too drafty,zone_living,airflow,decrease,moderate,template_train
we're sitting in the kitchen and it's quite hot,zone_kitchen,temperature,decrease,moderate,template_train
"please fix the den, it's blasting air everywhere",zone_living,airflow,decrease,strong,template_train
"can you do something about the my son's room, it's sticky",zone_bedroom,humidity,decrease,moderate,template_train
it is a little too warm in the mud room,zone_common,temperature,decrease,mild,template_train
we're sitting in the game room and it's warmer than I'd like,zone_living,temperature,decrease,moderate,template_train
we're sitting in teh my room and it's unbearably muggy,zone_bedroom,humidity,decrease,strong,template_train
the sitting room is airless,zone_living,airflow,increase,moderate,template_train
honestly its just way too dry,UNSPECIFIED,humidity,increase,strong,template_train
we're sitting in the bathroom and it's dry,zone_bathroom,humidity,increase,moderate,template_train
we're sitting in the drawing hall and it's quite hot,zone_living,temperature,decrease,moderate,template_train
the study is a touch cold,zone_office,temperature,increase,mild,template_train
we're sitting in the kitchen and it's like an icebox,zone_kitchen,temperature,increase,strong,template_train
it's not enough air moving again in here,UNSPECIFIED,airflow,increase,moderate,template_train
we're sitting in teh lobby and it's so dry my throat hurts,zone_common,humidity,increase,strong,template_train
we're sitting in teh work room and it's a little cold,zone_office,temperature,increase,mild,template_train
"can you do something about the bathroom, it's drafty",zone_bathroom,airflow,decrease,moderate,template_train
it is a little too warm in the bathroom,zone_bathroom,temperature,decrease,mild,template_train
freezing in the hallway again,zone_common,temperature,increase,strong,template_train
too hot in the front room again,zone_living,temperature,decrease,moderate,template_train
master bedroom is really dry,zone_bedroom,humidity,increase,moderate,template_train
dining area is slightly dry,zone_common,humidity,increase,mild,template_train
honestly it's just quite cold,UNSPECIFIED,temperature,increase,moderate,template_train
it is unbearably muggy in the washroom,zone_bathroom,humidity,decrease,strong,template_train
